개방자치단체코드,관리번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분명,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,2.0263E+17,종로3가,돈화문로11길 9,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 돈화문로11길 9,서울특별시 종로구,02-2148-1776,37.5726341,126.9909691,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,신영교,세검정로 260,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,,서울특별시 종로구 세검정로 260,서울특별시 종로구,02-2148-1776,37.6014783,126.9614703,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(주정차15),진흥로 487,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,,서울특별시 종로구 진흥로 487,서울특별시 종로구,02-2148-1776,37.6049461,126.9611121,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범58),평창11길 20,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,,서울특별시 종로구 평창11길 20,서울특별시 종로구,02-2148-1776,37.6069775,126.966306,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,감나무골어린이공원,평창동 495-4,서울특별시,종로구,편의시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,서울특별시 종로구 평창동 495-4,,서울특별시 종로구,02-2148-1776,37.6127168,126.9703019,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범52),평창20길 51,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,,서울특별시 종로구 평창20길 51,서울특별시 종로구,02-2148-1776,37.61129,126.97005,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,글로리아타운앞,평창문화로 75,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202001,,서울특별시 종로구 평창문화로 75,서울특별시 종로구,02-2148-1776,37.6064519,126.9690988,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,아동회관놀이터,지봉로13길 14,서울특별시,종로구,지역문화시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 지봉로13길 14,서울특별시 종로구,02-2148-1776,37.5783754,127.0146433,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창신역1번출구,지봉로 107,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 지봉로 107,서울특별시 종로구,02-2148-1776,37.5796711,127.0150564,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범206),지봉로13길 82,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 지봉로13길 82,서울특별시 종로구,02-2148-1776,37.5770841,127.0124269,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창신어린이공원,창신동 23-362,서울특별시,종로구,편의시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,서울특별시 종로구 창신동 23-362,,서울특별시 종로구,02-2148-1776,37.5779688,127.0129794,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,동묘앞역10번출구,종로 347,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 종로 347,서울특별시 종로구,02-2148-1776,37.5736942,127.0156901,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범197),창신길 97,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 창신길 97,서울특별시 종로구,02-2148-1776,37.5760102,127.0103812,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범187),종로51길 37,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 종로51길 37,서울특별시 종로구,02-2148-1776,37.573585,127.0111848,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범245),창신길 12,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 창신길 12,서울특별시 종로구,02-2148-1776,37.5722405,127.0106781,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,CCTV지주(방범200),창신5길 37,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 창신5길 37,서울특별시 종로구,02-2148-1776,37.574281,127.0124611,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,평창경로당,평창문화로 48,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 평창문화로 48,서울특별시 종로구,02-2148-1776,37.6052678,126.9667418,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창이어린이공원,낙산성곽동길 72,서울특별시,종로구,편의시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 낙산성곽동길 72,서울특별시 종로구,02-2148-1776,37.5787838,127.0086859,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,평창경로당,평창문화로 48,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 평창문화로 48,서울특별시 종로구,02-2148-1776,37.605287,126.9667274,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,산마루놀이터입구,창신6가길 36,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",201901,,서울특별시 종로구 창신6가길 36,서울특별시 종로구,02-2148-1776,37.5754723,127.0126957,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,복정경로당,삼청로4길 22,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 삼청로4길 22,서울특별시 종로구,02-2148-1776,37.58238,126.98209,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,부암경로당,자하문로 260,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 자하문로 260,서울특별시 종로구,02-2148-1776,37.59734,126.96344,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,무악경로당,통일로14길 19,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 통일로14길 19,서울특별시 종로구,02-2148-1776,37.5754,126.95776,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,북촌,삼청로107,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 삼청로107,서울특별시 종로구,02-2148-1776,37.58502,126.98182,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,탑골공원,종로 99,서울특별시,종로구,편의시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 종로 99,서울특별시 종로구,02-2148-1776,37.57105,126.98781,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,신영경로당,세검정로6길 76-19,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 세검정로6길 76-19,서울특별시 종로구,02-2148-1776,37.60127,126.96364,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,교남경로당,사직로2길 8,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 사직로2길 8,서울특별시 종로구,02-2148-1776,37.57253,126.96458,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,숭인2경로당,종로66가길 35,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 종로66가길 35,서울특별시 종로구,02-2148-1776,37.57311,127.02004,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,한마음경로당,숭인동길 78-8,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 숭인동길 78-8,서울특별시 종로구,02-2148-1776,37.57825,127.02217,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,세종마을경로당,자하문로11길 33,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 자하문로11길 33,서울특별시 종로구,02-2148-1776,37.58036,126.96991,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,세종마을경로당,자하문로11길 33,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 자하문로11길 33,서울특별시 종로구,02-2148-1776,37.58036,126.96991,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,구경찰박물관(임시청사),새문안로 41,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202301,,서울특별시 종로구 새문안로 41,서울특별시 종로구,02-2148-1776,37.569,126.96966,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,대학로,대학로11길 27,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202401,,서울특별시 종로구 대학로11길 27,서울특별시 종로구,02-2148-1776,37.58209,127.00006,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,동문시장앞거리,청계천로 341,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202401,,서울특별시 종로구 청계천로 341,서울특별시 종로구,02-2148-1776,37.5700292,127.0157233,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,북촌,북촌로6길 1,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202401,,서울특별시 종로구 북촌로6길 1,서울특별시 종로구,02-2148-1776,37.57996,126.98507,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,종로구보건소,자하문로19길 36,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202401,,서울특별시 종로구 자하문로19길 36,서울특별시 종로구,02-2148-1776,37.58183053,126.9692258,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,종로구보건소,자하문로19길 36,서울특별시,종로구,관공서,서울특별시 종로구,"SEOUL, SEOUL_Secure",202401,,서울특별시 종로구 자하문로19길 36,서울특별시 종로구,02-2148-1776,37.58183053,126.9692258,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,종로3가,돈화문로11길 33,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 돈화문로11길 33,서울특별시 종로구,02-2148-1776,37.5724976,126.9894721,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,종로3가,돈화문로11길 41,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 돈화문로11길 41,서울특별시 종로구,02-2148-1776,37.5724855,126.9891545,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,광화문일대,세종대로23길 11,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 세종대로23길 11,서울특별시 종로구,02-2148-1776,37.5714485,126.975825,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,광화문일대,세종대로23길 54,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 세종대로23길 54,서울특별시 종로구,02-2148-1776,37.5716902,126.9736645,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,광화문일대,세종대로23길 25,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 세종대로23길 25,서울특별시 종로구,02-2148-1776,37.5715898,126.9749042,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 79,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 79,서울특별시 종로구,02-2148-1776,37.5831848,126.9702592,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,필운대로 116,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 필운대로 116,서울특별시 종로구,02-2148-1776,37.5837714,126.9702083,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 103,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 103,서울특별시 종로구,02-2148-1776,37.58509,126.97005,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로33길 2,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로33길 2,서울특별시 종로구,02-2148-1776,37.5861961,126.9698769,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 23,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 23,서울특별시 종로구,02-2148-1776,37.5780725,126.9717503,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 3,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 3,서울특별시 종로구,02-2148-1776,37.5764829,126.9724169,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 11-1,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 11-1,서울특별시 종로구,02-2148-1776,37.5771792,126.9721918,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창이경로당,창신길 98,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 창신길 98,서울특별시 종로구,02-2148-1776,37.575951,127.0105278,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,명륜3가경로당,성균관로 50,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 성균관로 50,서울특별시 종로구,02-2148-1776,37.5871239,126.9966571,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,명륜3가경로당,성균관로 50,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 성균관로 50,서울특별시 종로구,02-2148-1776,37.5871239,126.9966571,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,사직경로당,사직로9길 15-25,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 사직로9길 15-25,서울특별시 종로구,02-2148-1776,37.57647059,126.9655817,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 27,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 27,서울특별시 종로구,02-2148-1776,37.5785154,126.9715326,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 39,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 39,서울특별시 종로구,02-2148-1776,37.5795457,126.9712634,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 47,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 47,서울특별시 종로구,02-2148-1776,37.5802289,126.9711345,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 61,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 61,서울특별시 종로구,02-2148-1776,37.5813612,126.9708101,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,서촌,자하문로 71,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 자하문로 71,서울특별시 종로구,02-2148-1776,37.582448,126.9705159,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창신2동주민센터,창신길 62,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 창신길 62,서울특별시 종로구,02-2148-1776,37.5744166,127.0108744,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,혜명경로당,혜화로9길 24-9,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 혜화로9길 24-9,서울특별시 종로구,02-2148-1776,37.5880461,126.9982536,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,혜명경로당,혜화로9길 24-9,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 혜화로9길 24-9,서울특별시 종로구,02-2148-1776,37.5880461,126.9982536,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,창이경로당,창신길 97,서울특별시,종로구,서민·복지시설,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 창신길 97,서울특별시 종로구,02-2148-1776,37.575951,127.0105278,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
3000000,2.0263E+17,광화문일대,세종대로23길 54,서울특별시,종로구,기타,서울특별시 종로구,"SEOUL, SEOUL_Secure",202201,,서울특별시 종로구 세종대로23길 54,서울특별시 종로구,02-2148-1776,37.5716946,126.9728847,2026-01-01,,2026-05-19 22:58,2026-05-18 11:00
